ID,SMILES,ION_ACTIVITY,PvsP,TEST_SET
OSM-S-220,ClC1=CN=CC2=NN=C(C3=CC=C(Cl)C=C3)N21,,,
OSM-S-254,O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,0.5,"0,7744",B
OSM-S-255,O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,,10,
OSM-S-256,O=C(NC1=C(F)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,,"5,66",
OSM-S-257,O=C(NC1=CC(Cl)=CC=C1C)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4,,"1,06",
OSM-S-258,ClC1=CC=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=NC=C4)N32,,10,
OSM-S-259,ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(F)C(F)=C4)N32,,"0,452",
OSM-S-260,FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=C1,,"0,281",
OSM-S-262,O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=NC=CC=C4,,10,
OSM-S-263,O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CN=CC=C4,,10,
OSM-S-265,N#CC(C=C1)=CC=C1C2=NN=C3N2C(OCC(OC)C4=CC=CC=C4)=CN=C3,,"0,285",
OSM-S-271,O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)(F)F)C=C4,,,
OSM-S-272,FC1=C(F)C=CC(CCOC2=CN=CC3=NN=C(C4=CC=C(Cl)C=C4)N32)=C1,1,"0,1078",B
OSM-S-273,c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(cn2)c1ccc(cc1)Cl,,"0,11",
OSM-S-274,c1ncc2cnc(n2c1OCCc1cc(c(cc1)F)F)c1ccc(cc1)Cl,,"0,83",
OSM-S-275,OC(COc2cncc3nnc(C1CCCCC1)n23)c4ccccc4,,5,
OSM-S-276,OC(COc1cncc2nnc(CC)n12)c3ccccc3,,10,
OSM-S-277,OC(COc2cncc3nnc(c1ccccc1)n23)c4ccccc4,,5,
OSM-S-278,OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CN=C(C(F)(F)F)C=C4)N32,0.5,"4,2154",B
OSM-S-279,OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,1,"0,314275",B
OSM-S-280,FC(F)Oc1ccc(cc1)c2nnc3cncc(OC)n23,,10,
OSM-S-281,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC[C@H](NC)C4=CC=CC=C4)N32,,10,
OSM-S-283,FC(F)Oc1ccc(cc1)c3nnc4cncc(OCC(N)c2ccccc2)n34,,2,
OSM-S-291,ClC(C=CC=C1)=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,,5,
OSM-S-292,ClC1=CC=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=C1,,"2,5",
OSM-S-293,ClC(C=C1)=CC=C1C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3,1,"0,13",B
OSM-S-294,C12=NN=C(C3=CC=CC=C3)N1C(OCCC4=CC=CC=C4)=CN=C2,,"1,599",
OSM-S-295,FC1=CC(C2=NN=C3N2C(OCCC4=CC=CC=C4)=CN=C3)=CC(F)=C1,,5,
OSM-S-296,C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,,"1,014",
OSM-S-297,C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCCC5=CC=CC=C5)=CN=C2,,"0,415",
OSM-S-298,FC1=CC(C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)=CC(F)=C1,,10,
OSM-S-299,C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,,10,
OSM-S-300,C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2,,10,
OSM-S-301,FC(OC(C=C1)=CC=C1C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)F,,5,
OSM-S-302,ClC1=CN=CC(NN)=N1,,,
OSM-S-303,ClC1=CN=CC(N/N=C/C2=CC=C(C#N)C=C2)=N1,,,
OSM-S-304,ClC1=CN=CC(N/N=C/C2=CC=C(OC(F)(F)F)C=C2)=N1,,,
OSM-S-305,ClC1=CN=CC(N/N=C/C2=CC=C(OC(F)F)C=C2)=N1,,,
OSM-S-306,ClC1=CN=CC(N/N=C/C2=CC=CC=C2)=N1,,,
OSM-S-307,ClC1=CN=CC(N/N=C/C2=C(Cl)C=CC=C2)=N1,,,
OSM-S-308,ClC1=CN=CC(N/N=C/C2=CC(Cl)=CC=C2)=N1,,,
OSM-S-309,ClC1=CN=CC(N/N=C/C2=CC=C(Cl)C=C2)=N1,,,
OSM-S-310,ClC1=CN=CC(N/N=C/C2=CC(F)=CC(F)=C2)=N1,,,
OSM-S-311,ClC1=CN=CC(N/N=C/C2=CC=C(OCO3)C3=C2)=N1,,,
OSM-S-312,ClC1=CN=CC(N/N=C/C2=CC=C(C=CC=C3)C3=C2)=N1,,,
OSM-S-313,ClC1=CN=CC(N/N=C/C2=CC=C(C(F)(F)F)N=C2)=N1,,,
OSM-S-314,ClC1=CN=CC(N/N=C/C2CCCN(C2)C(OC(C)(C)C)=O)=N1,,,
OSM-S-315,ClC1=CN=CC(N/N=C/C2CCCCC2)=N1,,,
OSM-S-316,ClC1=CN=CC(N/N=C/CC)=N1,,,
OSM-S-317,ClC1=CN=CC2=NN=C(C3=CC=C(OC(F)(F)F)C=C3)N21,,,
OSM-S-318,ClC1=NC(N/N=C/C2=CC=NC=C2)=CN=C1,,,
OSM-S-319,ClC(N12)=CN=CC1=NN=C2C3=CC(F)=CC(F)=C3,,,
OSM-S-320,ClC(N12)=CN=CC1=NN=C2C3=CN=C(C(F)(F)F)C=C3,,,
OSM-S-321,ClC(N12)=CN=CC1=NN=C2C3CCCCC3,,,
OSM-S-323,ClC(N12)=CN=CC1=NN=C2C3CCCN(C3)C(OC(C)(C)C)=O,,,
OSM-S-325,ClC(N12)=CN=CC1=NN=C2C3=CC=CC=C3,,,
OSM-S-326,ClC(N12)=CN=CC1=NN=C2C3=CC(C=CC=C4)=C4C=C3,,,
OSM-S-327,ClC(N12)=CN=CC1=NN=C2C3=CC(OCO4)=C4C=C3,,,
OSM-S-329,FC1=C(F)C=C(C(C(O)=O)O)C=C1,,,
OSM-S-330,FC1=C(F)C=C(C(C(OC)=O)OC)C=C1,,,
OSM-S-331,FC1=C(F)C=C(C(CO)OC)C=C1,,,
OSM-S-332,ClC1=CN=CC2=NN=C(C3=CC=NC=C3)N21,,,
OSM-S-333,ClC(N12)=CN=CC1=NN=C2C3=CC(Cl)=CC=C3,,,
OSM-S-334,ClC(N12)=CN=CC1=NN=C2C3=C(Cl)C=CC=C3,,,
OSM-S-335,O=C(OCC)C(CO)C1=CC=CC=C1,,,
OSM-S-336,OC(C(OC)=O)C1=CC=CC=C1,,,
OSM-S-337,O=C(OC)C(OC)C1=CC=CC=C1,,,
OSM-S-338,OCC(OC)C1=CC=CC=C1,,,
OSM-S-339,O=C(OC)C(OC1OCCCC1)C2=CC=CC=C2,,,
OSM-S-340,OCC(OC1OCCCC1)C2=CC=CC=C2,,,
OSM-S-341,N[C@@H](CO)C1=CC=CC=C1,,,
OSM-S-342,O=C(O)[C@H](NC(O)=O)C1=CC=CC=C1,,,
OSM-S-343,OC[C@H](NC)C1=CC=CC=C1,,,
OSM-S-344,OC[C@H](N(C)C)C1=CC=CC=C1,,,
OSM-S-345,O=C(OCC)C(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,,,
OSM-S-346,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(Cl)C(Cl)=C4)N32,,"0,702",
OSM-S-347,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C(Cl)=C4)N32,,"0,529",
OSM-S-348,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(Cl)C=C4)N32,,"1,636", 
OSM-S-349,FC(C=C1)=C(F)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,,"0,582",
OSM-S-350,ClC(C=C1)=C(Cl)C=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,,"0,709",
OSM-S-351,ClC1=CC=CC(C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32)=C1Cl,,"0,259",
OSM-S-352,FC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,,"0,366",
OSM-S-353,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CO)N32,1,"0,1137",B
OSM-S-354,OC(C)(C)COC1=CN=CC2=NN=C(C3=CC=C(OC(F)(F)F)C=C3)N21,,,
OSM-S-355,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)CN)N32,,,
OSM-S-356,OC(C1=CC=CC=C1)COC2=CN=CC3=NN=C(C4=NC=CC=C4)N32,,,
OSM-S-357,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C)(C)OC)N32,,,
OSM-S-358,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C4=CC=CC=C4)N(C)C)N32,,,
OSM-S-359,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCC4=CC=CC=C4)N32,,,
OSM-S-360,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CC4=CC=CC=C4)=O)N32,,,
OSM-S-361,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CC4=CC=CC=C4)(=O)=O)N32,,,
OSM-S-362,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(N4N=NC(C5=CC=CC=C5)=C4)N32,,,
OSM-S-363,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCCC4=CC=CC=C4)N32,0,10,C
OSM-S-364,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CCC4=CC=CC=C4)=O)N32,0,10,C
OSM-S-365,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CCC4=CC=CC=C4)(=O)=O)N32,,,C
OSM-S-366,C(COc1cncc2n1c(nn2)c1cnc(cc1)C(F)(F)F)c1cc(c(cc1)F)F,0,"0,4349",B
OSM-S-367,O=C(NC1=CC=C(Cl)C=C1)C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32,0,"8,1938",B
OSM-S-368,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=CC=C4)N32,0.5,"2,239",C
OSM-S-369,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,1,"0,251",C
OSM-S-370,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCCC45C6C7C4C8C5C6C87)N32,1,"1,995",C
OSM-S-371,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4(C56)C7C6C8C5C4C87)N32,1,"0,372",C
OSM-S-372,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(CC5=CC=CC=C5)N=N4)N32,0,10,C
OSM-S-373,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N=N4)=CN4C5=CC=CC=C5)N32,0,10,C
OSM-S-374,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(C5=NC(Cl)=CN=C5)N=N4)N32,0,10,C
OSM-S-375,IC12C(C3C1C4C52)C5C34C6=NN=C7C=NC=C(OCCC8=CC(F)=C(F)C=C8)N76,0,10,C
OSM-S-376,OC(C1=CC(F)=C(F)C=C1)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,1,"0,5767",B
OSM-S-377,FC(C=C1)=C(F)C=C1[C@@H](OC(F)F)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,,"0,01668",B
OSM-S-378,FC1=C(F)C=CC(C(N(C)C)COC2=CN=CC3=NN=C(C4=CC=C(C#N)C=C4)N32)=C1,1,10,B
OSM-S-379,FC(C(Cl)=C1)=CC=C1NC(C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=O,1,"0,3292",B
OSM-S-380,FC(OC(C=C1)=CC=C1C2=NN=C3C=NC=C(CN4CC(C=CC=C5)=C5C4)N32)F,1,"0,11",B
OSM-S-381,c1ncc2n(c1OCC(c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F,,"0,02432",B
OSM-S-382,IC12C3C4C5(C3C1C5C24)C6=NN=C7C=NC=C(C(NC8=CC(C(F)(F)F)=NC=C8)=O)N76,0,10,C
OSM-S-383,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC(OC)=CC=C4)N32,1,"0,135",C
OSM-S-384,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=C(OC)C=C4)N32,1,"0,928",C
OSM-S-385,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(F)C(F)=C4)N32,1,"8,586",C
OSM-S-386,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC(C)C4=CC=C(C#N)C=C4)N32,0,"4,801",C
OSM-S-387,FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=CN32,0,10,C
OSM-S-388,OC1=CN=CC2=NN=C(N3CCCCC3)N21,0,10,C
OSM-S-389,FC1=C(C=CC(C(COC2=CN=CC3=NN=C(N32)C4=CC=C(OC(F)F)C=C4)N(C)C)=C1)F,1,"0,1408",B
OSM-S-390,FC(OC1=CC=C(C2=NN=C3C=NC=C(N32)OCC(C4=CC(F)=C(C=C4)F)O)C=C1)F,1,"0,074",B
OSM-W-1,ClC(C=C1)=CC=C1C2=NN=C3C=NC=C(N=[N+]=[N-])N32,,,
OSM-W-3,FC(C(F)=C1)=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=C(S(C)(=O)=O)C=C4)N32,,,
OSM-W-4,[H]N(C1=NN=C(C2=CC=CC=C2)S1)C3=NC(OCCC4=CC=C(F)C=C4)=CN=C3,,,
JS 10-1,ClC1=CC=CC(N/N=C/C2=CC=C(C#N)C=C2)=N1,,50,
JS 11-1,ClC1=CC=CC2=NN=C(C3=CC=C(C#N)C=C3)N21,,50,
JS 12-1,ClC1=CC=CC(C(NC2=CC(C(F)(F)F)=NC=C2)=O)=N1,,50,
JS 15-1,O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC(N/N=C/C3=CC=C(C#N)C=C3)=N2,,50,
JS 16-1,O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,,50,
JS 19-1,ClC(C=CC=C1)=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,,"5,2",
JS 20-1,N#CC(C=C1)=CC=C1C2=NN=C3C=CC=C(OCCC4=CC=CC=C4)N32,,"6,8",
JS 21-1,FC(C(F)=C1)=CC=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32,,"3,5",
MMV670763,[C@H](COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1cc(c(cc1)F)F)NC,,10,
MMV671933,[C@H]1([C@@H](N(C1)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,"0,6095",
MMV671934,[C@H]1([C@@H](N(C1=O)C1CC1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,"1,121",
MMV672689,[C@H]1([C@H](N(C1)C1CC1)c1ccc(c(c1)F)F)Oc1cncc2nnc(n12)c1ccc(cc1)OC(F)F,,"0,7308",
MMV672619,[C@H]1(C(N([C@@H]1c1cc(c(cc1)F)F)C1CC1)=O)Oc1ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV672727,C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(F)C,,"0,1228",
MMV672723,C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)(O)C,,"0,1012",
MMV672936,C(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)(c1ccc(c(c1)F)F)F,,"0,06536",
MMV669025,C=1\NC(c2n(/C1/OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)=O,,"4,13",
MMV669544,c1(C(NCc2cncc3n2c(nn3)c2ccc(cc2)OC(F)F)=O)cc(ccc1)Cl,,10,
MMV672626,C1(CC1)(C(Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)C(F)(F)F)c1ccc(c(c1)F)F,,10,
MMV672992,c1(ccc2n(n1)c(nn2)c1ccc(cc1)C#N)NCCc1cnccc1,,10,
MMV672942,c1(ccc2n(n1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F,,"0,5096",
MMV672939,c1(ccc2n(n1)c(nn2)c1ccc(cc1)OC(F)F)OCCc1cc(c(cc1)F)F,,"6,77899999999999",
MMV669304,c1(ccccc1)CCCc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,1,"0,28",A
MMV669310,c1(ccccc1)CCCC1CNCc2n1c(nn2)c1ccc(cc1)OC(F)F,,"8,76",
MMV669305,c1(CCN2CCOCC2)cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV668956,C1(CN(C1)c1cc(c(cc1)F)F)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,"0,43",
MMV670438,C1(COC1)(COc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)c1cc(c(cc1)F)F,,"0,4833",
MMV672990,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NC(Cc1cccc(c1)Cl)=O,0,10,A
MMV671655,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)Nc1ccc(c(c1)F)F,,10,
MMV670949,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCc1cc(c(cc1)F)F,,10,
MMV671927,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F,0,10,A
MMV671926,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)Oc1ccc(c(c1)F)F,,"3,446",
MMV670946,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)OCc1cc(c(cc1)F)F,,"0,5207",
MMV670945,c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)OCCc1cc(c(cc1)F)F,,"0,03382",
MMV668822,c1[n+](cc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)[O-],,"4,01",
MMV671677,c1c(c(c(cc1)C(F)(F)F)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,1,"0,309",A
MMV671676,c1c(c(ccc1Cl)Cl)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,,"0,3321",
MMV669543,c1c(ccc(c1F)F)CNC(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)=O,,"0,28",
MMV672618,c1cc(cc2c1n(cc2)C)Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,"1,983",
MMV668962,C1N(Cc2n(C1)c(nn2)c1ccc(cc1)OC(F)F)C(CN)=O,,10,
MMV669541,c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)C,,"6,92",
MMV668823,c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)Cl,,"0,16",
MMV669311,c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)N,,10,
MMV669102,c1nc(c2n(c1OCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F)N(CC)CC,,"6,86",
MMV668960,C1NCc2n(C1)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV669105,c1ncc2n(c1C(=O)N(Cc1cc(ccc1)Cl)C)c(nn2)c1ccc(cc1)OC(F)F,,"1,06",
MMV669021,c1ncc2n(c1C(=O)N[C@H](c1ccccc1)C)c(nn2)c1ccc(cc1)OC(F)F,,"1,6",
MMV670768,c1ncc2n(c1C(=O)N1CCc3c1ccc(c3)F)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV671654,c1ncc2n(c1C(=O)Nc1ccc(cc1Cl)F)c(nn2)c1ccc(cc1)OC(F)F,,"5,576",
MMV672624,c1ncc2n(c1C(=O)NC1CCc3c1ccc(c3)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"0,546799999999999",
MMV672625,c1ncc2n(c1C(=O)Nc1ccnc(c1)C(F)(F)F)c(nn2)c1c(nn(c1C)c1ccc(cc1)F)C,,10,
MMV669027,c1ncc2n(c1C(=O)NCCc1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,,"3,17",
MMV669026,c1ncc2n(c1C(Nc1ncccc1)=O)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV669002,c1ncc2n(c1C(NCc1ccccc1Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,,"0,38",
MMV670243,c1ncc2n(c1CCCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,,"0,32",
MMV669312,c1ncc2n(c1CCN1Cc3c(C1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV668824,c1ncc2n(c1CCO)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV668955,C1NCc2n(C1CCO)c(nn2)c1ccc(cc1)OC(F)F,,"8,36999999999999",
MMV669360,c1ncc2n(c1COCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,1,"0,36",A
MMV671652,c1ncc2n(c1N[C@H](c1cc(c(cc1)F)F)CO)c(nn2)c1ccc(cc1)OC(F)F,,"0,5697",
MMV668957,c1ncc2n(c1N1CCC(C1)c1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,,2,
MMV671678,c1ncc2n(c1n1ccnc1Cc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV671653,c1ncc2n(c1n1ncc(c1)c1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,,"6,721",
MMV670934,c1ncc2n(c1Nc1ccc(c(c1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"9,63499999999999",
MMV671651,c1ncc2n(c1OC[C@@H](c1cc(c(cc1)F)F)N)c(nn2)c1ccc(cc1)OC(F)F,,"0,2785",
MMV671650,c1ncc2n(c1Oc1cc(c(cc1)Cl)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,,"0,597299999999999",
MMV670765,c1ncc2n(c1Oc1cc(c(cc1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"0,4551",
MMV672620,c1ncc2n(c1Oc1cc3c(cc1)ccc(n3)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,,"1,629",
MMV670659,c1ncc2n(c1Oc1cc3c(cc1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,,"0,1147",
MMV671649,c1ncc2n(c1Oc1cc3c(cc1)CCCC3)c(nn2)c1ccc(cc1)OC(F)F,,"2,581",
MMV672989,c1ncc2n(c1Oc1cc3nc(ccc3cc1)OC)c(nn2)c1ccc(cc1)OC(F)F,,"1,67",
MMV671929,c1ncc2n(c1Oc1ccc(c(c1)Cl)Cl)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C,,10,
