,NUMBER,S,NAME,INCHI_KEY,SMILES,ACTIVITY_LABEL,ACTIVITY_PROBABILITY
1058,#1131,S,retapamulin,STZYTFJPGGDRJD-NHUWBDDWSA-N,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,1.0,0.770215809345
730,#784,S,etacrynic acid,AVOLMBLBETYQHX-UHFFFAOYSA-N,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,1.0,0.751790106297
471,#507,S,triamcinolone,GFNANZIMVAIWHM-OBYCQNJPSA-N,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,1.0,0.751205980778
3954,#4372,S,cyproterone acetate,UWFYSQMTEOIJJG-FDTZYFLXSA-N,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,1.0,0.750758111477
485,#522,S,prednisone,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1.0,0.741478323936
529,#574,S,fludrocortisone,AAXVEMMRQDVLJB-BULBTXNYSA-N,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1.0,0.740903437138
4356,#4849,S,d-leucyl-n-(3-chlorobenzyl)-l-prolinamide,FHVBVJXZKNCSLP-CVEARBPZSA-N,CC(C)C[C@@H](N)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1,1.0,0.740039408207
637,#690,S,pentoxifylline,BYPFEZZEUUWMEJ-UHFFFAOYSA-N,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,1.0,0.737354636192
1849,#2006,S,[2-aminomethyl-5-oxo-4-(4-oxo-cyclohexa-2*5-dienylmethyl)-4*5-dihydro-imidazol-1-yl] -acetaldehyde,MONOYMGQJZJGBR-LLVKDONJSA-N,NCC1=N[C@H](CC2C=CC(=O)C=C2)C(=O)N1CC=O,1.0,0.737142801285
165,#178,S,conjugated equine estrogens,JKKFKPJIXZFSSB-CBZIJGRNSA-N,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,1.0,0.731610357761
784,#839,S,methylprednisolone,VHRSUDSXCMQTMA-PJHHCJLFSA-N,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,1.0,0.730143725872
579,#626,S,hydrocortisone,JYGXADMDTFJGBT-VWUMJDOOSA-N,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1.0,0.729175984859
3776,#4178,S,aldosterone,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,1.0,0.727463066578
690,#743,S,prednisolone,OIGNJSKKLXVSLS-VWUMJDOOSA-N,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1.0,0.727463066578
402,#434,S,desoximetasone,VWVSBHGCDBMOOT-IIEHVVJPSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,1.0,0.724025845528
604,#654,S,hydrocortamate,FWFVLWGEFDIZMJ-FOMYWIRZSA-N,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.0,0.716260433197
6233,#6795,S,fluocortolone,GAKMQHDJQHZUTJ-ULHLPKEOSA-N,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,1.0,0.705465912819
201,#216,S,fluorometholone,FAOZLTXFLGPHNG-KNAQIMQKSA-N,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,0.704894065857
4574,#5071,S,5-(4-chloro-5-phenyl-3-thienyl)-1*2*5-thiadiazolidin-3-one 1*1-dioxide,LCPRWBWCEGWNKF-UHFFFAOYSA-N,O=C1CN(c2csc(-c3ccccc3)c2Cl)S(=O)(=O)N1,1.0,0.697854101658
270,#290,S,griseofulvin,DDUHZTYCFQRHIY-RBHXEPJQSA-N,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1.0,0.694545805454
454,#490,S,medroxyprogesterone acetate,PSGAAPLEWMOORI-PEINSRQWSA-N,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1.0,0.681388199329
6448,#7052,S,pipamperone,AXKPFOAXAHJUAG-UHFFFAOYSA-N,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1.0,0.680605769157
4075,#4510,S,anecortave acetate,YUWPMEXLKGOSBF-GACAOOTBSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@@]21C,1.0,0.679357767105
3796,#4199,S,(11-beta)-11*21-dihydroxy-pregn-4-ene-3*20-dione,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,1.0,0.673474669456
4316,#4809,S,17-hydroxy-18a-homo-19-nor-17alpha-pregna-4*9*11-trien-3-one,OXHNQTSIKGHVBH-ANULTFPQSA-N,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,1.0,0.671868026257
1134,#1223,S,ciclesonide,LUKZNWIVRBCLON-GXOBDPJESA-N,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,1.0,0.670443892479
133,#145,S,medrysone,GZENKSODFLBBHQ-ILSZZQPISA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1.0,0.66365903616
4774,#5274,S,(3s)-3-hydroxy-1-methyl-2*3-dihydro-1h-indole-5*6-dione,RPHLQSHHTJORHI-SECBINFHSA-N,CN1C[C@@H](O)C2=CC(=O)C(=O)C=C21,1.0,0.659725546837
586,#634,S,etodolac,NNYBQONXHNTVIJ-UHFFFAOYSA-N,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1.0,0.65749591589
167,#180,S,amcinonide,ILKJAFIWWBXGDU-MOGDOJJUSA-N,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1.0,0.648593664169
4188,#4651,S,naxifylline,NJYNSYQBNSDGIQ-RDDCQWBRSA-N,CCCC1C(=O)c2nc([C@H]3C[C@H]4C[C@@H]3[C@@H]3O[C@H]43)[nH]c2N(CCC)C1=O,1.0,0.647799134254
5871,#6405,S,(3ar*6r*6as)-6-((s)-((s)-cyclohex-2-enyl)(hydroxy)methyl)-6a-methyl-4-oxo-hexahydro-2h-furo[3*2-c]pyrrole-6-carbaldehyde,YVABESCRHMBHJD-FUQNVFFISA-N,C[C@]12OCC[C@H]1C(=O)N[C@]2(C=O)[C@@H](O)[C@@H]1C=CCCC1,1.0,0.647740960121
945,#1010,S,desoxycorticosterone pivalate,VVOIQBFMTVCINR-WWMZEODYSA-N,CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0,0.646149158478
5108,#5623,S,(3r*4s*5s*7r*9e*11r*12r)-12-ethyl-4-hydroxy-3*5*7*11-tetramethyloxacyclododec-9-ene-2*8-dione,NZUJVBSYQXETNF-JRKAUPQBSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,1.0,0.64214193821
4324,#4817,S,1-[(2r)-2-aminobutanoyl]-n-(3-chlorobenzyl)-l-prolinamide,OTYYXGRJXJFTCD-KGLIPLIRSA-N,CC[C@@H](N)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1,1.0,0.641776263714
5004,#5514,S,s-[3-(3*4-dichlorophenyl)-3-oxopropyl]-l-cysteine,WBRMJWLALJKZJY-JTQLQIEISA-N,N[C@@H](CSCCC(=O)c1ccc(Cl)c(Cl)c1)C(=O)O,1.0,0.639855325222
6475,#7093,S,acetrizoic acid,GNOGSFBXBWBTIG-UHFFFAOYSA-N,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,1.0,0.639426469803
5974,#6517,S,(chloroacetyl)carbamic acid (3r*4s*5s*5r)-5-methoxy-4-[(2r*3r)-2-methyl-3-(3-methyl-2-butenyl)oxiranyl]-1-oxaspiro[2.5]oct-6-yl ester,MSHZHSPISPJWHW-PVDLLORBSA-N,CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)NC(=O)CCl)CO2,1.0,0.633111774921
2813,#3095,S,(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,FJAWIBGKKKXXAL-LLVKDONJSA-N,O=C(O)[C@H](NOCCS)c1c[nH]c2ccccc12,1.0,0.63304823637
1653,#1783,S,1-(3-mercapto-2-methyl-propionyl)-pyrrolidine-2-carboxylic acid,FAKRSMQSSFJEIM-BQBZGAKWSA-N,C[C@@H](CS)C(=O)N1CCC[C@H]1C(=O)O,1.0,0.629074931145
1003,#1073,S,captopril,FAKRSMQSSFJEIM-RQJHMYQMSA-N,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,1.0,0.629074931145
172,#186,S,etonogestrel,GCKFUYQCUCGESZ-BPIQYHPVSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,1.0,0.626638770103
1119,#1205,S,paramethasone,MKPDWECBUAZOHP-AFYJWTTESA-N,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.0,0.62658816576
4348,#4841,S,(1s*3as*5ar*8as)-1*7*7-trimethyl-1*2*3*3a*5a*6*7*8-octahydrocyclopenta[c]pentalene-4-carboxylic acid,DCFDRCCHOOORSB-JOXOIDLHSA-N,C[C@H]1CC[C@@H]2C(C(=O)O)=C[C@H]3CC(C)(C)C[C@@]123,1.0,0.626067399979
1268,#1359,S,formebolone,AMVODTGMYSRMNP-GNIMZFFESA-N,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C(C=O)=C[C@]4(C)[C@H]3[C@H](O)C[C@@]21C,1.0,0.620096921921
669,#722,S,clocortolone,YMTMADLUXIRMGX-RFPWEZLHSA-N,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,1.0,0.614216983318
4220,#4689,S,methyltestosterone,GCKMFJBGXUYNAG-HLXURNFRSA-N,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1.0,0.612941741943
239,#258,S,levonorgestrel,WWYNJERNGUHSAO-XUDSTZEESA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,1.0,0.612941741943
2446,#2676,S,methyltrienolone,CCCIJQPRIXGQOE-XWSJACJDSA-N,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,1.0,0.612941741943
6482,#7100,S,norgestrel,WWYNJERNGUHSAO-UHFFFAOYSA-N,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,1.0,0.612941741943
557,#602,S,norethisterone,VIKNJXKGJWUCNN-XGXHKTLJSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1.0,0.612941741943
4429,#4923,S,2-chloro-n-[(1r*2r)-1-hydroxy-2*3-dihydro-1h-inden-2-yl]-6h-thieno[2*3-b]pyrrole-5-carboxamide,LRHOLHTVXXSIMG-BXUZGUMPSA-N,O=C(N[C@@H]1Cc2ccccc2[C@H]1O)c1cc2cc(Cl)sc2[nH]1,1.0,0.610476851463
6523,#7162,S,dehydrocholic acid,OHXPGWPVLFPUSM-KLRNGDHRSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C,1.0,0.610020399094
4125,#4580,S,dehydroepiandrosterone sulfate,CZWCKYRVOZZJNM-USOAJAOKSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OS(=O)(=O)O)CC[C@@]43C)[C@@H]1CCC2=O,1.0,0.607559502125
1241,#1332,S,17alpha-methyl-4-hydroxynandrolone,CLNUZOCYKSHICX-FAHHUNKHSA-N,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(O)C(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1.0,0.606249451637
6304,#6869,S,tibolone,WZDGZWOAQTVYBX-XOINTXKNSA-N,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C,1.0,0.603421986103
4047,#4476,S,ganaxolone,PGTVWKLGGCQMBR-FLBATMFCSA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0,0.603156328201
156,#169,S,theophylline,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1.0,0.599525988102
310,#332,S,betamethasone,UREBDLICKHMUKA-DVTGEIKXSA-N,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.0,0.598832905293
1037,#1109,S,dexamethasone,UREBDLICKHMUKA-CXSFZGCWSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.0,0.598832905293
6273,#6836,S,canrenoic acid,PBKZPPIHUVSDNM-WNHSNXHDSA-N,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]2(O)CCC(=O)O,1.0,0.597958505154
3342,#3687,S,2*5-diaziridin-1-yl-3-(hydroxymethyl)-6-methylcyclohexa-2*5-diene-1*4-dione,JKDLOGLNPDVUCX-UHFFFAOYSA-N,CC1=C(N2CC2)C(=O)C(CO)=C(N2CC2)C1=O,1.0,0.59755218029
6232,#6794,S,fluprednidene,YVHXHNGGPURVOS-SBTDHBFYSA-N,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.0,0.594652831554
4260,#4743,S,hydroxyprogesterone caproate,DOMWKUIIPQCAJU-LJHIYBGHSA-N,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1.0,0.593544721603
4096,#4544,S,etiprednol dicloacetate,QAIOVDNCIZSSSF-RFAJLIJZSA-N,CCOC(=O)[C@@]1(OC(=O)C(Cl)Cl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.0,0.593240261078
4233,#4705,S,gestodene,SIGSPDASOTUPFS-XUDSTZEESA-N,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,1.0,0.592315256596
1687,#1819,S,2-(oxalyl-amino)-4*7-dihydro-5h-thieno[2*3-c]thiopyran-3-carboxylic acid,ZPDVRWNOCOREGF-UHFFFAOYSA-N,O=C(O)C(=O)Nc1sc2c(c1C(=O)O)CCSC2,1.0,0.590996980667
6270,#6833,S,carbazochrome,XSXCZNVKFKNLPR-UHFFFAOYSA-N,CN1CC(O)C2=C/C(=N/NC(N)=O)C(=O)C=C21,1.0,0.587860584259
920,#984,S,methyprylon,SIDLZWOQUZRBRU-UHFFFAOYSA-N,CCC1(CC)C(=O)NCC(C)C1=O,1.0,0.587130069733
1895,#2056,S,carbenoxolone,OBZHEBDUNPOCJG-WBXJDKIVSA-N,CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,1.0,0.586753249168
2151,#2339,S,5-chloro-6-[(2-iminopyrrolidin-1-yl)methyl]pyrimidine-2*4(1h*3h)-dione,QQHMKNYGKVVGCZ-UHFFFAOYSA-N,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,1.0,0.586284518242
4629,#5126,S,3-cyclohexyl-d-alanyl-n-(3-chlorobenzyl)-l-prolinamide,JGFCNVHEEMBVJG-MOPGFXCFSA-N,N[C@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1,1.0,0.586159229279
4678,#5177,S,(4r)-7*8-dichloro-1'*9-dimethyl-1-oxo-1*2*4*9-tetrahydrospiro[beta-carboline-3*4'-piperidine]-4-carbonitrile,XGUIMGJMQKZRGM-LLVKDONJSA-N,CN1CCC2(CC1)NC(=O)c1c(c3ccc(Cl)c(Cl)c3n1C)[C@H]2C#N,1.0,0.585968673229
593,#642,S,dolasetron,UKTAZPQNNNJVKR-KJGYPYNMSA-N,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,1.0,0.58554571867
3325,#3668,S,6-deoxyerythronolide b,HQZOLNNEQAKEHT-IBBGRPSASA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,1.0,0.584791123867
6430,#7028,S,caroxazone,KYCBWEZLKCTALM-UHFFFAOYSA-N,NC(=O)CN1Cc2ccccc2OC1=O,1.0,0.584659516811
5901,#6436,S,progesterone-11-alpha-ol-hemisuccinate,JBBNFGYRYNBDIH-DBGGZKJISA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](OC(=O)CCC(=O)O)C[C@]12C,1.0,0.583490729332
991,#1061,S,fluoxymesterone,YLRFCQOZQXIBAB-RBZZARIASA-N,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,0.577241718769
2186,#2379,S,4-(2-oxo-hexahydro-thieno[3*4-d]imidazol-4-yl)-butyricacid,AINAXQHKYSZESH-HAFWLYHUSA-N,O=C(O)CCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,1.0,0.573357343674
1106,#1185,S,butethal,STDBAQMTJLUMFW-UHFFFAOYSA-N,CCCCC1(CC)C(=O)NC(=O)NC1=O,1.0,0.573329508305
6387,#6983,S,arotinolol,BHIAIPWSVYSKJS-UHFFFAOYSA-N,CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1,1.0,0.572467386723
117,#129,S,butabarbital,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.0,0.568240761757
5832,#6365,S,5*6-dichloro-1-beta-d-ribofuranosyl-1h-benzimidazole,XHSQDZXAVJRBMX-DDHJBXDOSA-N,OC[C@H]1O[C@@H](n2cnc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,1.0,0.568186700344
5288,#5811,S,3-formyl-2-hydroxy-5-methyl-hexanoic acid hydroxyamide,YVDHZNIQWHUORH-BQBZGAKWSA-N,CC(C)C[C@@H](C=O)[C@H](O)C(=O)NO,1.0,0.566000819206
1705,#1840,S,isatin,JXDYKVIHCLTXOP-UHFFFAOYSA-N,O=C1Nc2ccccc2C1=O,1.0,0.565121591091
1263,#1354,S,calusterone,IVFYLRMMHVYGJH-PVPPCFLZSA-N,C[C@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12,1.0,0.5650639534
1186,#1275,S,bolasterone,IVFYLRMMHVYGJH-VLOLGRDOSA-N,C[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@@H]21,1.0,0.5650639534
4384,#4877,S,n-(trans-4-{(1s*2s)-2-amino-3-[(3s)-3-fluoropyrrolidin-1-yl]-1-methyl-3-oxopropyl}cyclohexyl)-n-methylacetamide,BZFQBRSDORUYAB-YDMUCJKGSA-N,CC(=O)N(C)[C@H]1CC[C@H]([C@H](C)[C@H](N)C(=O)N2CC[C@H](F)C2)CC1,1.0,0.564574718475
5948,#6490,S,n-[(1s)-5-amino-1-(chloroacetyl)pentyl]-4-methylbenzenesulfonamide,RDFCSSHDJSZMTQ-ZDUSSCGKSA-N,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1,1.0,0.564566075802
5641,#6169,S,methyl [(1e*5r)-5-{(3s)-3-[(2e*4e)-2*5-dimethylocta-2*4-dienoyl]-2*4-dioxo-3*4-dihydro-2h-pyran-6-yl}hexylidene]carbamate,LTDLIPXLSBMTFP-UZLBHIALSA-N,CCC/C(C)=C/C=C(\C)C(=O)[C@@H]1C(=O)C=C([C@H](C)CCC/C=N/C(=O)OC)OC1=O,1.0,0.559307336807
4179,#4641,S,saxagliptin,QGJUIPDUBHWZPV-SGTAVMJGSA-N,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,1.0,0.55863648653
4891,#5394,S,(1s*3s*5s)-2-{(2s)-2-amino-2-[(1r*3s*5r*7s)-3-hydroxytricyclo[3.3.1.1~3*7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile,QGJUIPDUBHWZPV-YQBUGCKMSA-N,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,1.0,0.55863648653
3777,#4179,S,atpenin a5,OVULNOOPECCZRG-CIUDSAMLSA-N,COc1[nH]c(=O)c(C(=O)[C@@H](C)C[C@H](C)[C@@H](Cl)CCl)c(O)c1OC,1.0,0.558303356171
2114,#2297,S,colforsin,OHCQJHSOBUTRHG-KGGHGJDLSA-N,C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H]1C(C)(C)CC[C@H](O)[C@@]12C,1.0,0.557950437069
4183,#4646,S,oxymetholone,ICMWWNHDUZJFDW-IYRCEVNGSA-N,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1.0,0.557409644127
