,NUMBER,S,NAME,INCHI_KEY,SMILES,ACTIVITY_LABEL,ACTIVITY_PROBABILITY
676,#729,S,flurandrenolide,POPFMWWJOGLOIF-XWCQMRHXSA-N,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,0.562174201012
3620,#4006,S,modified acarbose pentasaccharide,QWNATFSCUHKKDP-KHDASAEXSA-N,C[C@@H]1O[C@H](O[C@H]2C(CO)=C[C@@H](N[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@@H]4[C@H](CO)O[C@@H](O[C@@H]5[C@H](CO)O[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)O[C@@H]3C)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,1.0,0.559043765068
782,#836,S,hydrocodone,LLPOLZWFYMWNKH-CMKMFDCUSA-N,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,1.0,0.558083891869
1155,#1244,S,methadyl acetate,XBMIVRRWGCYBTQ-UHFFFAOYSA-N,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1.0,0.548596203327
4113,#4568,S,faropenem medoxomil,JQBKWZPHJOEQAO-DVPVEWDBSA-N,Cc1oc(=O)oc1COC(=O)C1=C([C@H]2CCCO2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12,1.0,0.547074913979
4241,#4714,S,ginkgolide-a,FPUXKXIZEIDQKW-VKMVSBOZSA-N,C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@]21O,1.0,0.546825289726
4693,#5191,S,3-({4-[(5-chloro-1*3-benzodioxol-4-yl)amino]pyrimidin-2-yl}amino)benzamide,ZVQZIVCQLFGXFZ-UHFFFAOYSA-N,NC(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1,1.0,0.546661794186
6505,#7140,S,bicuculline,IYGYMKDQCDOMRE-ZWKOTPCHSA-N,CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,1.0,0.533832252026
195,#210,S,codeine,OROGSEYTTFOCAN-DNJOTXNNSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,1.0,0.533157587051
1028,#1098,S,budesonide,VOVIALXJUBGFJZ-KWVAZRHASA-N,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,0.528233766556
1295,#1391,S,tazobactam,LPQZKKCYTLCDGQ-WEDXCCLWSA-N,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,1.0,0.523795843124
5277,#5797,S,(s)-4-isopropoxycarbonyl-6-methoxy-3-methylthiomethyl-3*4-dihydroquinoxalin-2(1h)-thione,GWKIPRVERALPRD-ZDUSSCGKSA-N,COc1ccc2c(c1)N(C(=O)OC(C)C)[C@@H](CSC)C(=S)N2,1.0,0.522680699825
4763,#5262,S,(2-acetyl-5-methylanilino)(2*6-dibromophenyl)acetamide,FELUFXCUIYHAPB-INIZCTEOSA-N,CC(=O)c1ccc(C)cc1N[C@H](C(N)=O)c1c(Br)cccc1Br,1.0,0.522085726261
1254,#1345,S,alphacetylmethadol,XBMIVRRWGCYBTQ-XMSQKQJNSA-N,CC[C@@H](OC(C)=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,1.0,0.519302070141
4409,#4902,S,5-(5-chloro-2*4-dihydroxyphenyl)-n-ethyl-4-(4-methoxyphenyl)isoxazole-3-carboxamide,JXPCDMPJCKNLBY-UHFFFAOYSA-N,CCNC(=O)c1noc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1,1.0,0.509281814098
211,#228,S,pimecrolimus,KASDHRXLYQOAKZ-QJBCOTQNSA-N,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1.0,0.505137681961
613,#663,S,roxithromycin,RXZBMPWDPOLZGW-HITVVWEBSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,1.0,0.503658950329
926,#991,S,nifedipine,HYIMSNHJOBLJNT-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1.0,0.50208067894
6409,#7004,S,aranidipine,NCUCGYYHUFIYNU-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-],0.0,0.49419310689
202,#219,S,hydromorphone,WVLOADHCBXTIJK-YNHQPCIGSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,0.0,0.494113951921
3201,#3524,S,6s-5*6*7*8-tetrahydrobiopterin,FNKQXYHWGSIFBK-ZMIZWQJLSA-N,C[C@@H](O)[C@@H](O)[C@H]1CNc2nc(N)nc(O)c2N1,0.0,0.494109004736
3572,#3951,S,13-acetylphorbol,SDSVJYOOAPRSDA-RPCQODIISA-N,CC(=O)O[C@@]12[C@H](O)[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,0.0,0.494043767452
3597,#3979,S,ncs-chromophore,QZGIWPZCWHMVQL-CXYSTPFZSA-N,CN[C@H]1[C@H](O)[C@@H](O)[C@H](C)O[C@@H]1O[C@H]1/C2=C/C#C[C@@H]3OC3([C@H]3COC(=O)O3)C#CC2=C[C@@H]1OC(=O)c1c(O)ccc2c(C)cc(OC)cc12,0.0,0.493860036135
137,#149,S,clotrimazole,VNFPBHJOKIVQEB-UHFFFAOYSA-N,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0.0,0.492421895266
517,#561,S,galantamine,ASUTZQLVASHGKV-JDFRZJQESA-N,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0.0,0.489905565977
5865,#6397,S,n-[[2-methyl-4-hydroxycarbamoyl]but-4-yl-n]-benzyl-p-[phenyl]-p-[methyl]phosphinamid,KGUVBHLPMGERAT-NIYFSFCBSA-N,CC(C)C[C@H](C(=O)NO)N(Cc1ccccc1)[P@](C)(=O)c1ccccc1,0.0,0.481141418219
6156,#6705,S,dehydroascorbic acid,SBJKKFFYIZUCET-DOAHDZERSA-N,O=C1O[C@H](C(O)CO)C(=O)C1=O,0.0,0.479071766138
951,#1018,S,doxepin,ODQWQRRAPPTVAG-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2COc2ccccc21,0.0,0.474270373583
1251,#1342,S,dihydrocodeine,RBOXVHNMENFORY-DNJOTXNNSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0.0,0.472387641668
3420,#3777,S,n'-(pyrrolidino[2*1-b]isoindolin-4-on-8-yl)-n-(pyridin-2-yl)urea,KLVYMYQTRZCMLE-CYBMUJFWSA-N,O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,0.0,0.468733936548
5818,#6349,S,3-{[(2*2*5*5-tetramethyl-1-oxo-4-phenyl-2*5-dihydro-1h-pyrrolium-3-yl)methyl]disulfanyl}-d-alanine,QYUQBTDVKOREGR-AWEZNQCLSA-O,CC1(C)C(CSSC[C@H](N)C(=O)O)=C(c2ccccc2)C(C)(C)[N+]1=O,0.0,0.465651363134
1011,#1081,S,flumazenil,OFBIFZUFASYYRE-UHFFFAOYSA-N,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.0,0.46559843421
4349,#4842,S,(5s*6s)-6-[(r)acetoxyeth-2-yl]-penem-3-carboxylatepropane,NEPDBQXSCUYOPA-VHRDEZTHSA-N,CCCOC(=O)C1=CS[C@H]2[C@@H]([C@@H](C)OC(C)=O)C(=O)N12,0.0,0.45599347353
998,#1068,S,oxymorphone,UQCNKQCJZOAFTQ-ISWURRPUSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0.0,0.452046900988
1245,#1336,S,ethyl loflazepate,CUCHJCMWNFEYOM-UHFFFAOYSA-N,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,0.0,0.451609671116
950,#1016,S,cefadroxil,BOEGTKLJZSQCCD-UEKVPHQBSA-N,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,0.0,0.445499747992
4006,#4427,S,pagoclone,HIUPRQPBWVEQJJ-UHFFFAOYSA-N,CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,0.0,0.44345253706
1253,#1344,S,cloxazolam,ZIXNZOBDFKSQTC-UHFFFAOYSA-N,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1,0.0,0.438565403223
6467,#7078,S,sulbactam,FKENQMMABCRJMK-RITPCOANSA-N,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,0.0,0.438089638948
1017,#1087,S,clarithromycin,AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.0,0.435659945011
363,#386,S,oxycodone,BRUQQQPBMZOVGD-XFKAJCMBSA-N,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,0.0,0.429885834455
390,#419,S,mephenytoin,GMHKMTDVRCWUDX-UHFFFAOYSA-N,CCC1(c2ccccc2)NC(=O)N(C)C1=O,0.0,0.427154898643
4990,#5499,S,2-mercapto-n-[1*2*3*10-tetramethoxy-9-oxo-5*6*7*9-tetrahydro-benzo[a]heptalen-7-yl]acetamide,TYDIWMTWTXFWSY-HNNXBMFYSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CS)CC2,0.0,0.416350245476
4970,#5477,S,2-(6-chloro-3-{[2*2-difluoro-2-(1-oxido-2-pyridinyl)ethyl]amino}-2-oxo-1(2h)-pyrazinyl)-n-[(2-fluorophenyl)methyl]acetamide,ZIGSBBKEPNQXRG-UHFFFAOYSA-N,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2cccc[n+]2[O-])c1=O)NCc1ccccc1F,0.0,0.414443701506
956,#1023,S,cloxacillin,LQOLIRLGBULYKD-JKIFEVAISA-N,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0.0,0.413573861122
3938,#4356,S,oxyphenisatin,SJDACOMXKWHBOW-UHFFFAOYSA-N,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,0.0,0.406282305717
882,#945,S,clonazepam,DGBIGWXXNGSACT-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,0.0,0.405965268612
1030,#1102,S,levomethadyl acetate,XBMIVRRWGCYBTQ-AVRDEDQJSA-N,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,0.0,0.40300104022
1095,#1172,S,cefradine,RDLPVSKMFDYCOR-UEKVPHQBSA-N,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,0.0,0.402682602406
4899,#5402,S,(r)-(+) 5(9bh)-oxo-9b-phenyl-2*3-dihydrothiazolo[2*3-a]isoindol-3-carboxylic acid methyl ester,JYIHODAXBBPFQF-MAUKXSAKSA-N,COC(=O)[C@@H]1CS[C@]2(c3ccccc3)c3ccccc3C(=O)N12,0.0,0.401033133268
4599,#5096,S,6-({5-fluoro-2-[(3*4*5-trimethoxyphenyl)amino]pyrimidin-4-yl}amino)-2*2-dimethyl-2h-pyrido[3*2-b][1*4]oxazin-3(4h)-one,NHHQJBCNYHBUSI-UHFFFAOYSA-N,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,0.0,0.3955950737
4285,#4776,S,n-(5-(4-chloro-3-(2-hydroxy-ethylsulfamoyl)- phenylthiazole-2-yl)-acetamide,JFVNFXCESCXMBC-UHFFFAOYSA-N,CC(=O)Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,0.0,0.395052045584
2852,#3140,S,4-acetyl-4-guanidino-6-methyl(propyl)carboxamide-4*5-dihydro-2h-pyran-2-carboxylic acid,QPJWMZVTNXFTKV-JMJZKYOTSA-N,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O,0.0,0.394870609045
591,#639,S,ethotoin,SZQIFWWUIBRPBZ-UHFFFAOYSA-N,CCN1C(=O)NC(c2ccccc2)C1=O,0.0,0.393880844116
694,#747,S,tacrolimus,QJJXYPPXXYFBGM-CLAWHKJSSA-N,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0.0,0.387584865093
5206,#5724,S,n-cyclopropyl-2'*6-dimethyl-4'-(5-methyl-1*3*4-oxadiazol-2-yl)biphenyl-3-carboxamide,UBVTVSINEVHYSY-UHFFFAOYSA-N,Cc1nnc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)c(C)c2)o1,0.0,0.386071920395
4337,#4830,S,5-{[(4-amino-3-chloro-5-fluorophenyl)sulfonyl]amino}-1*3*4-thiadiazole-2-sulfonamide,HOLJYLOVIHBQHO-UHFFFAOYSA-N,Nc1c(F)cc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1Cl,0.0,0.385371118784
4846,#5346,S,(5s)-1-benzyl-3-(1*1-dioxido-1*2-benzisothiazol-3-yl)-4-hydroxy-5-(1-methylethyl)-1*5-dihydro-2h-pyrrol-2-one,XKOAFAIRGVAHRA-IBGZPJMESA-N,CC(C)[C@H]1C(O)=C(C2=NS(=O)(=O)c3ccccc32)C(=O)N1Cc1ccccc1,0.0,0.376707077026
384,#411,S,metolazone,AQCHWTWZEMGIFD-UHFFFAOYSA-N,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0.0,0.376052647829
2906,#3199,S,3-(5-amino-7-hydroxy-[1*2*3]triazolo[4*5-d]pyrimidin-2-yl)-n-(3*5-dichlorobenzyl)-benzamide,JMQTXEWNXSPEKX-UHFFFAOYSA-N,Nc1nc(O)c2nn(-c3cccc(C(=O)NCc4cc(Cl)cc(Cl)c4)c3)nc2n1,0.0,0.37338206172
6083,#6630,S,(11r)-10-acetyl-11-(2*4-dichlorophenyl)-6-hydroxy-3*3-dimethyl-2*3*4*5*10*11-hexahydro-1h-dibenzo[b*e][1*4]diazepin-1-one,JJTPPGUNMJMPLY-QFIPXVFZSA-N,CC(=O)N1c2cccc(O)c2NC2=C(C(=O)CC(C)(C)C2)[C@@H]1c1ccc(Cl)cc1Cl,0.0,0.371961683035
4898,#5401,S,(r)-(+)9b-(3-methyl)phenyl-2*3-dihydrothiazolo[2*3-a]isoindol-5(9bh)-one,FQVDJZWFSZSGGA-QGZVFWFLSA-N,Cc1cccc([C@]23SCCN2C(=O)c2ccccc23)c1,0.0,0.371597409248
1086,#1163,S,polythiazide,CYLWJCABXYDINA-UHFFFAOYSA-N,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0.0,0.370370954275
5270,#5790,S,n-[(1s)-1-{1-[(1r*3e)-1-acetylpent-3-en-1-yl]-1h-1*2*3-triazol-4-yl}-1*2-dimethylpropyl]benzamide,OEHUTYXPQSSKAK-NQIIRXRSSA-N,C/C=C/C[C@H](C(C)=O)n1cc([C@@](C)(NC(=O)c2ccccc2)C(C)C)nn1,0.0,0.369043380022
3676,#4070,S,n-methylnaloxonium,PCSQOABIHJXZMR-YNUHATHGSA-O,C=CC[N@+]1(C)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0.0,0.367198705673
4038,#4466,S,ingenol mebutate,VDJHFHXMUKFKET-IYACTCEOSA-N,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,0.0,0.364934116602
